fecha	banda	reflec
2021-03-12	B02	0.03146666666666666
2021-03-12	B03	0.03816666666666667
2021-03-12	B04	0.03453333333333333
2021-03-12	B05	0.04589999999999999
2021-03-12	B06	0.054
2021-03-12	B07	0.06183333333333333
2021-03-12	B08	0.0579
2021-03-12	B8A	0.06903333333333334
2021-03-12	B11	0.0649
2021-03-12	B12	0.04766666666666667
2021-03-17	B01	0.6693666666666667
2021-03-17	B02	0.6796
2021-03-17	B03	0.6328
2021-03-17	B04	0.5913333333333334
2021-03-17	B05	0.6225666666666667
2021-03-17	B06	0.6254
2021-03-17	B07	0.6193666666666666
2021-03-17	B08	0.6434666666666666
2021-03-17	B8A	0.6129
2021-03-17	B11	0.4321
2021-03-17	B12	0.362
2021-03-22	B01	0.24623333333333333
2021-03-22	B02	0.2182
2021-03-22	B03	0.21626666666666663
2021-03-22	B04	0.2051333333333333
2021-03-22	B05	0.2245333333333333
2021-03-22	B06	0.25473333333333337
2021-03-22	B07	0.2680666666666667
2021-03-22	B08	0.27673333333333333
2021-03-22	B8A	0.27323333333333333
2021-03-22	B11	0.2279
2021-03-22	B12	0.17926666666666666
2021-03-27	B01	0.8818333333333334
2021-03-27	B02	0.8882666666666666
2021-03-27	B03	0.9074666666666666
2021-03-27	B04	0.9066666666666666
2021-03-27	B05	0.8816333333333334
2021-03-27	B06	0.8853666666666666
2021-03-27	B07	0.8823666666666666
2021-03-27	B08	0.9477333333333332
2021-03-27	B8A	0.8736666666666667
2021-03-27	B11	0.2303333333333333
2021-03-27	B12	0.2617
2021-04-01	B01	0.00586666666666666
2021-04-01	B02	0.00166666666666666
2021-04-01	B03	0.00956666666666666
2021-04-01	B04	0.00733333333333333
2021-04-01	B05	0.01266666666666666
2021-04-01	B06	0.00676666666666666
2021-04-01	B07	0.00876666666666666
2021-04-01	B08	0.00916666666666666
2021-04-01	B8A	0.00913333333333333
2021-04-01	B11	0.02186666666666666
2021-04-01	B12	0.01476666666666666
2021-04-06	B01	0.8245
2021-04-06	B02	0.7730666666666667
2021-04-06	B03	0.6918666666666666
2021-04-06	B04	0.6321333333333333
2021-04-06	B05	0.6661333333333334
2021-04-06	B06	0.6378333333333334
2021-04-06	B07	0.6237666666666667
2021-04-06	B08	0.6129333333333333
2021-04-06	B8A	0.6130666666666666
2021-04-06	B11	0.4778333333333334
2021-04-06	B12	0.38753333333333334
2021-04-11	B01	0.7889333333333333
2021-04-11	B02	0.7396
2021-04-11	B03	0.6817333333333333
2021-04-11	B04	0.6353333333333333
2021-04-11	B05	0.6898666666666666
2021-04-11	B06	0.6476999999999999
2021-04-11	B07	0.6174666666666666
2021-04-11	B08	0.6272
2021-04-11	B8A	0.5932000000000001
2021-04-11	B11	0.23046666666666665
2021-04-11	B12	0.20103333333333337
2021-04-16	B01	0.10763333333333332
2021-04-16	B02	0.0909
2021-04-16	B03	0.09473333333333334
2021-04-16	B04	0.0854
2021-04-16	B05	0.1007
2021-04-16	B06	0.1148
2021-04-16	B07	0.12243333333333332
2021-04-16	B08	0.1126
2021-04-16	B8A	0.12573333333333334
2021-04-16	B11	0.09
2021-04-16	B12	0.08193333333333333
2021-04-21	B01	0.01606666666666666
2021-04-21	B02	0.02403333333333333
2021-04-21	B03	0.02653333333333333
2021-04-21	B04	0.0201
2021-04-21	B05	0.02733333333333333
2021-04-21	B06	0.02676666666666666
2021-04-21	B07	0.0298
2021-04-21	B08	0.03966666666666667
2021-04-21	B8A	0.0236
2021-04-21	B11	0.03426666666666667
2021-04-21	B12	0.02226666666666666
2021-04-26	B01	0.0095
2021-04-26	B02	0.00216666666666666
2021-04-26	B03	0.01513333333333333
2021-04-26	B04	0.00963333333333333
2021-04-26	B05	0.01643333333333333
2021-04-26	B06	0.0074
2021-04-26	B07	0.00853333333333333
2021-04-26	B08	0.01
2021-04-26	B8A	0.00846666666666666
2021-04-26	B11	0.01686666666666667
2021-04-26	B12	0.0123
2021-05-01	B01	0.009
2021-05-01	B02	0.00813333333333333
2021-05-01	B03	0.01706666666666666
2021-05-01	B04	0.011566666666666661
2021-05-01	B05	0.01596666666666666
2021-05-01	B06	0.0097
2021-05-01	B07	0.01186666666666666
2021-05-01	B08	0.0104
2021-05-01	B8A	0.0128
2021-05-01	B11	0.02293333333333333
2021-05-01	B12	0.01526666666666666
2021-05-06	B01	0.01626666666666666
2021-05-06	B02	0.01476666666666666
2021-05-06	B03	0.02576666666666666
2021-05-06	B04	0.01776666666666666
2021-05-06	B05	0.02883333333333333
2021-05-06	B06	0.02703333333333333
2021-05-06	B07	0.03093333333333333
2021-05-06	B08	0.0431
2021-05-06	B8A	0.03336666666666667
2021-05-06	B11	0.03716666666666667
2021-05-06	B12	0.02389999999999999
2021-05-11	B01	1.205833333333333
2021-05-11	B02	1.153333333333333
2021-05-11	B03	1.0386666666666666
2021-05-11	B04	0.9370666666666666
2021-05-11	B05	0.9968666666666668
2021-05-11	B06	0.9262333333333334
2021-05-11	B07	0.8699666666666667
2021-05-11	B08	0.9248
2021-05-11	B8A	0.8140666666666667
2021-05-11	B11	0.4960333333333333
2021-05-11	B12	0.43856666666666666
2021-05-16	B01	0.01296666666666666
2021-05-16	B02	0.0067
2021-05-16	B03	0.02663333333333333
2021-05-16	B04	0.01403333333333333
2021-05-16	B05	0.02126666666666666
2021-05-16	B06	0.00853333333333333
2021-05-16	B07	0.0107
2021-05-16	B08	0.01046666666666666
2021-05-16	B8A	0.01153333333333333
2021-05-16	B11	0.0204
2021-05-16	B12	0.0131
2021-05-21	B01	0.02856666666666666
2021-05-21	B02	0.0312
2021-05-21	B03	0.04553333333333333
2021-05-21	B04	0.03056666666666667
2021-05-21	B05	0.04136666666666667
2021-05-21	B06	0.02679999999999999
2021-05-21	B07	0.03493333333333334
2021-05-21	B08	0.0319
2021-05-21	B8A	0.0314
2021-05-21	B11	0.0341
2021-05-21	B12	0.02586666666666666
2021-05-26	B01	0.0641
2021-05-26	B02	0.0525
2021-05-26	B03	0.0776
2021-05-26	B04	0.05976666666666667
2021-05-26	B05	0.07946666666666667
2021-05-26	B06	0.08216666666666667
2021-05-26	B07	0.0897
2021-05-26	B08	0.08613333333333333
2021-05-26	B8A	0.09243333333333333
2021-05-26	B11	0.07516666666666666
2021-05-26	B12	0.062
2021-05-31	B01	0.0063
2021-05-31	B02	0.01116666666666666
2021-05-31	B03	0.03713333333333333
2021-05-31	B04	0.0181
2021-05-31	B05	0.03436666666666667
2021-05-31	B06	0.01763333333333333
2021-05-31	B07	0.0177
