fecha	param	LR1	LR2	LR3	LT
2021-02-10	B06	0.6604	0.6832	0.7041	0.6402
2021-02-10	B07	0.6638	0.6582	0.6808	0.6291
2021-02-10	B08	0.6244	0.6924	0.69	0.6188
2021-02-10	B8A	0.6457	0.6385	0.6476	0.6113
2021-02-10	B11	0.5	0.527	0.5451	0.5098
2021-02-10	B12	0.4511	0.4459	0.4513	0.4615
2021-02-15	B01	0.0206	0.031	0.0262	0.06
2021-02-15	B02	0.0083	0.0154	0.0153	0.0735
2021-02-15	B03	0.0155	0.0209	0.0206	0.1224
2021-02-15	B04	0.0097	0.0167	0.0158	0.1744
2021-02-15	B05	0.0114	0.0282	0.0224	0.1942
2021-02-15	B06	0.0107	0.0197	0.0226	0.1383
2021-02-15	B07	0.0117	0.0222	0.0237	0.144
2021-02-15	B08	0.0106	0.0201	0.0201	0.1262
2021-02-15	B8A	0.0037	0.0311	0.0234	0.1079
2021-02-15	B11	0.0184	0.0322	0.0283	0.02
2021-02-15	B12	0.0115	0.0257	0.0235	0.0212
2021-02-20	B01	0.8262	0.8687	0.8719	0.2033
2021-02-20	B02	0.7076	0.6568	0.722	0.1494
2021-02-20	B03	0.6168	0.6276	0.6328	0.1694
2021-02-20	B04	0.6588	0.6588	0.644	0.1968
2021-02-20	B05	0.7646	0.7579	0.764	0.2432
2021-02-20	B06	0.7413	0.7472	0.7616	0.2854
2021-02-20	B07	0.7137	0.7296	0.7272	0.3004
2021-02-20	B08	0.6104	0.6148	0.6436	0.2442
2021-02-20	B8A	0.6865	0.7136	0.7053	0.2945
2021-02-20	B11	0.4744	0.4809	0.4836	0.2102
2021-02-20	B12	0.3932	0.4208	0.4028	0.1728
2021-02-25	B01	0.0347	0.0417	0.0386	0.0716
2021-02-25	B02	0.0224	0.0238	0.0227	0.0903
2021-02-25	B03	0.0311	0.0322	0.0323	0.145
2021-02-25	B04	0.0196	0.0205	0.0201	0.2052
2021-02-25	B05	0.0255	0.0307	0.0311	0.2192
2021-02-25	B06	0.0178	0.0402	0.0204	0.1829
2021-02-25	B07	0.0195	0.0404	0.0259	0.1973
2021-02-25	B08	0.0259	0.029	0.0297	0.1744
2021-02-25	B8A	0.028	0.0352	0.0383	0.1594
2021-02-25	B11	0.025	0.0351	0.0314	0.0266
2021-02-25	B12	0.0193	0.0247	0.0227	0.0218
2021-03-02	B01	0.0362	0.0456	0.0432	0.0758
2021-03-02	B02	0.0325	0.0321	0.0319	0.1056
2021-03-02	B03	0.0422	0.0426	0.0433	0.1566
2021-03-02	B04	0.0311	0.0324	0.0319	0.217
2021-03-02	B05	0.0419	0.0486	0.048	0.2358
2021-03-02	B06	0.0401	0.0482	0.0483	0.1972
2021-03-02	B07	0.0418	0.0709	0.0544	0.2114
2021-03-02	B08	0.0473	0.0484	0.0503	0.1882
2021-03-02	B8A	0.0546	0.0643	0.0587	0.1768
2021-03-02	B11	0.0452	0.059	0.0545	0.0364
2021-03-02	B12	0.0318	0.0438	0.0392	0.0283
2021-03-07	B01	0.0239	0.0334	0.025	0.0629
2021-03-07	B02	0.013	0.0135	0.0118	0.0842
2021-03-07	B03	0.0176	0.0178	0.0193	0.1384
2021-03-07	B04	0.0116	0.0139	0.0124	0.2034
2021-03-07	B05	0.0133	0.0229	0.017	0.2212
2021-03-07	B06	0.0148	0.0185	0.0171	0.1858
2021-03-07	B07	0.0033	0.029	0.0188	0.1944
2021-03-07	B08	0.0174	0.0205	0.0196	0.1804
2021-03-07	B8A	0.0202	0.0252	0.027	0.1646
2021-03-07	B11	0.0235	0.0316	0.0273	0.0207
2021-03-07	B12	0.0149	0.0206	0.0187	0.0138
2021-03-12	B01	0.0382	0.0484	0.0389	0.0793
2021-03-12	B02	0.0319	0.0319	0.0306	0.1058
2021-03-12	B03	0.0372	0.0396	0.0377	0.1536
2021-03-12	B04	0.0338	0.0345	0.0353	0.2126
2021-03-12	B05	0.0414	0.0506	0.0457	0.2284
2021-03-12	B06	0.0486	0.0607	0.0527	0.2088
2021-03-12	B07	0.0543	0.0721	0.0591	0.2219
2021-03-12	B08	0.0559	0.057	0.0608	0.2084
2021-03-12	B8A	0.0586	0.085	0.0635	0.1919
2021-03-12	B11	0.057	0.074	0.0637	0.052
2021-03-12	B12	0.0414	0.0534	0.0482	0.0399
2021-03-17	B01	0.6508	0.7028	0.6545	0.6812
2021-03-17	B02	0.6244	0.6888	0.7256	0.6144
2021-03-17	B03	0.598	0.6328	0.6676	0.564
2021-03-17	B04	0.5728	0.5884	0.6128	0.5368
2021-03-17	B05	0.5947	0.6301	0.6429	0.5563
2021-03-17	B06	0.6033	0.6324	0.6405	0.5386
2021-03-17	B07	0.599	0.6302	0.6289	0.5315
2021-03-17	B08	0.6136	0.6504	0.6664	0.5272
2021-03-17	B8A	0.5988	0.6218	0.6181	0.5218
2021-03-17	B11	0.4189	0.4384	0.439	0.2798
2021-03-17	B12	0.3548	0.3674	0.3638	0.2419
2021-03-22	B01	0.1911	0.1892	0.3584	0.2927
2021-03-22	B02	0.1694	0.17	0.3152	0.3248
2021-03-22	B03	0.177	0.1686	0.3032	0.3188
2021-03-22	B04	0.1766	0.1576	0.2812	0.3056
2021-03-22	B05	0.2078	0.1855	0.2803	0.3461
2021-03-22	B06	0.2329	0.2154	0.3159	0.3671
2021-03-22	B07	0.2401	0.2338	0.3303	0.3823
2021-03-22	B08	0.2316	0.2302	0.3684	0.3826
2021-03-22	B8A	0.2429	0.2397	0.3371	0.3752
2021-03-22	B11	0.2128	0.2007	0.2702	0.3091
2021-03-22	B12	0.1688	0.16	0.209	0.2543
2021-03-27	B01	0.8796	0.883	0.8829	0.9326
2021-03-27	B02	0.8888	0.888	0.888	0.9568
